,Sample,date,location,d5_micron,d16_micron,d50_micron,d84_micron,d95_micron,SS_d50_micron,SS_mean_micron,SS_mean_num_micron,depth_mm,v_cm_s,conc,duration,material,flowrate,ustar_smooth,shearstress_pa,input_perc_ss
81,C102900H,1029,0,5.7,6,11.9,36.7,49.8,26.7,24.5,14.2,,,,,s,,,,1
82,C102905E,1029,5,7.8,21.5,35.3,51.1,64.9,34.7,32.7,20.4,36,14.9,491,120,s,922.7,0.86,0.07,1
83,C102910E,1029,10,8.4,18.2,34.2,61.3,61.3,29,27.9,19.5,36,14.9,491,120,s,922.7,0.86,0.07,1
84,C102915E,1029,15,11.3,16.9,27.9,43.2,61.3,27.1,26.2,17.6,34,14.9,491,120,s,922.7,0.91,0.08,1
85,C102920E,1029,20,12.1,15.9,26.9,39,46.5,27.4,26.2,18,34,14.9,491,120,s,922.7,0.91,0.08,1
86,C102925E,1029,25,8.4,15.3,24.7,36.4,53,25.1,24.7,18,34,14.9,491,120,s,922.7,0.91,0.08,1
92,C110800H,1108,0,,1.2,13.6,34.9,46.5,26,25.1,15.3,,,,,s,,,,1
93,C110805E,1108,5,6.8,16,27.7,40.5,53.1,28.5,27.5,18.6,34.5,5,1659,120,s,304.97,0.35,0.01,1
94,C110810E,1108,10,9.2,13.1,20.7,28.9,37.4,21,20.6,16,35,5,1659,120,s,304.97,0.34,0.01,1
95,C110815E,1108,15,7.3,10.9,16.8,23.2,28.4,17.7,17.7,14.8,34,5,1659,120,s,304.97,0.35,0.01,1
96,C110820E,1108,20,6,9.2,14.1,19.8,24.4,15.3,15.2,13.6,34,5,1659,120,s,304.97,0.35,0.01,1
97,C110825E,1108,25,4.9,8.2,12.8,17.6,21.8,14.6,15.3,13.2,33.5,5,1659,120,s,304.97,0.36,0.01,1
98,C112600H,1126,0,,1.3,14.9,35.8,51.2,24.7,24,15.3,,,,,s,,,,1
99,C112605E,1126,5,3.3,19.7,33.8,50.7,64.2,33.8,31.9,18.6,35,9.7,984,120,s,602.25,0.61,0.04,1
100,C112610E,1126,10,9.8,14.5,26.3,38.6,48.6,26.8,25.4,16.8,36,9.7,984,120,s,602.25,0.6,0.04,1
101,C112615E,1126,15,10.7,16.3,26.6,41.2,57.6,26.6,26.2,17.6,35,9.7,984,120,s,602.25,0.61,0.04,1
102,C112620E,1126,20,8.6,14.4,24,35.2,45.2,24.9,24.4,17.4,35,9.7,984,120,s,602.25,0.61,0.04,1
103,C112625E,1126,25,2.4,13.4,21.7,31.5,38,22.1,21.4,16.3,34,9.7,984,120,s,602.25,0.63,0.04,1
104,C112805E,1128,5,20.6,26.5,39.9,58.6,64.9,37.8,36.9,27.9,36,20.1,522,120,s,1216.28,1.1,0.12,1
105,C112810E,1128,10,14.3,22.6,37,53.5,64.9,35.7,33.4,20.3,36,20.1,522,120,s,1216.28,1.1,0.12,1
106,C112815E,1128,15,17.4,24.2,35.7,51.5,64.9,34.6,33.5,23.7,34,20.1,522,120,s,1216.28,1.16,0.14,1
107,C112820E,1128,20,16,21.5,32,46.5,60.7,31.4,30.6,21.2,34,20.1,522,120,s,1216.28,1.16,0.14,1
108,C112825E,1128,25,16.9,21.6,30.6,43,53.9,30.3,29.9,22.2,31,20.1,522,120,s,1216.28,1.28,0.16,1
109,C112900H,1129,0,,0.8,10.9,38,64.9,23,22.4,14.7,,,,,s,,,,1
110,C112905E,1129,5,26.9,34.8,51.1,64.9,64.9,44.3,43.7,,35,27.1,374,100,s,1667.11,1.49,0.22,1
111,C112910E,1129,10,29.5,34.5,46.6,64.9,64.9,41.3,39.7,29.9,35,27.1,374,100,s,1667.11,1.49,0.22,1
112,C112915E,1129,15,20.4,26.3,36.9,51.4,64.9,36,35.2,26.8,35,27.1,374,100,s,1667.11,1.49,0.22,1
113,C112920E,1129,20,20,25.6,37.7,51.8,63.3,36.6,34.9,23.4,35,27.1,374,100,s,1667.11,1.49,0.22,1
114,C112925E,1129,25,20.6,25.9,37.1,51,62.6,36.4,35.3,24.3,32,27.1,374,100,s,1667.11,1.63,0.27,1