,Sample,date,location,d5_micron,d16_micron,d50_micron,d84_micron,d95_micron,SS_d50_micron,SS_mean_micron,SS_mean_num_micron,v_cm_s,depth,conc,duration,material,flowrate,ustar_smooth,shearstress_pa,input_perc_ss
26,C030500T,305,0,,,0.9,15.4,32.4,20.8,21.5,14.7,,,,,scc,,,,0.33
27,C030505T,305,5,,,9,30.3,44.7,24.4,23.8,15.5,4.9,34.5,1871,120,scc,302.83,0.34,0.01,0.33
28,C030510T,305,10,,,16.4,30.5,39,24.1,23.8,16.5,4.9,35,1871,120,scc,302.83,0.34,0.01,0.33
29,C030515T,305,15,,,11.2,23,30.4,18.7,18.9,14.5,4.9,35,1871,120,scc,302.83,0.34,0.01,0.33
30,C030520T,305,20,,,8.5,18.9,26.2,16.9,16.9,14.1,4.9,35,1871,120,scc,302.83,0.34,0.01,0.33
31,C030525T,305,25,,,8.6,17.8,23.5,16,16.8,13.7,4.9,34.5,1871,120,scc,302.83,0.34,0.01,0.33
32,C030600T,306,0,,,1.5,14.2,28.6,19.2,18.5,13.8,,,,,scc,,,,0.33
33,C030605T,306,5,0.8,1.3,26.4,47.9,64.9,31.9,29.5,16.5,14.5,34,963,120,scc,878.09,0.88,0.08,0.33
34,C030610T,306,10,,1.1,24.5,44.6,57.6,31.5,29.5,17.7,14.5,35,963,120,scc,878.09,0.85,0.07,0.33
35,C030615T,306,15,,,20.7,40.3,64.9,27.9,26.5,16.6,14.5,34,963,120,scc,878.09,0.88,0.08,0.33
36,C030620T,306,20,,,19.9,36.4,46.4,26.4,25.1,17,14.5,34,963,120,scc,878.09,0.88,0.08,0.33
37,C030700T,307,0,,,,16.5,36.5,20.4,17.1,14.7,,,,,scc,,,,0.33
38,C030705T,307,5,,,22,42.8,56.4,30.2,28.2,16.6,10,34,663,120,scc,609.8,0.64,0.04,0.33
39,C030710T,307,10,,,21.3,39.8,51.7,28.2,27,16.2,10,35,663,120,scc,609.8,0.62,0.04,0.33
40,C030715T,307,15,,,16.8,33.8,42.8,25,24,15.9,10,34,663,120,scc,609.8,0.64,0.04,0.33
41,C030800T,308,0,,,1.7,15.4,31.2,18.6,19.4,13.8,,,,,scc,,,,0.33
42,C030805T,308,5,,,20.6,48.6,64.9,35.8,32.9,18.6,20.3,35,453,120,scc,"1,228.48",1.14,0.13,0.33
43,C030810T,308,10,,0.8,22.9,64.9,64.9,26.3,26.8,17.1,20.3,35,453,120,scc,"1,228.48",1.14,0.13,0.33
44,C030815T,308,15,0.8,8.8,28.8,48.2,64.9,31.3,29.9,18.1,20.3,35,453,120,scc,"1,228.48",1.14,0.13,0.33
45,C030820T,308,20,,1,25.8,46.3,64.9,30.5,29.4,19.7,20.3,33.5,453,120,scc,"1,228.48",1.19,0.14,0.33
46,C030825T,308,25,2.4,13.2,27.5,42.8,51.8,29.4,28.2,17.4,20.3,32,453,120,scc,"1,228.48",1.25,0.16,0.33
47,C031000T,310,0,,,1.7,17.6,37.1,21.7,23.3,14.3,,,,,scc,,,,0.33
48,C031005T,310,5,,3.2,31.8,64.9,64.9,34,31.8,20.2,23.7,35,393,120,scc,"1,495.08",1.36,0.18,0.33
49,C031010T,310,10,,1.1,28,53.3,64.9,34.9,32,19.6,23.7,36,393,120,scc,"1,495.08",1.32,0.17,0.33