s_d_micron,s_fracfiner,sc_d_micron,sc_fracfiner,scc_d_micron,scc_fracfiner
0.817523038,0.161474918,0.817523038,0.295646888,0.817523038,0.539062155
0.865964323,0.156601991,0.865964323,0.307173226,0.865964323,0.541345515
0.917275935,0.15262969,0.917275935,0.318254303,0.917275935,0.541028523
0.971627952,0.150256101,0.971627952,0.328653324,0.971627952,0.539477959
1.029200527,0.149808583,1.029200527,0.338083862,1.029200527,0.538224748
1.090184492,0.151199945,1.090184492,0.34626206,1.090184492,0.538569243
1.154781985,0.15400469,1.154781985,0.353023047,1.154781985,0.541279929
1.223207119,0.157588811,1.223207119,0.358472866,1.223207119,0.546476497
1.295686698,0.161244179,1.295686698,0.363060519,1.295686698,0.55374611
1.372460961,0.164322611,1.372460961,0.367487053,1.372460961,0.562407639
1.453784386,0.166435754,1.453784386,0.372464724,1.453784386,0.571808149
1.539926526,0.167624573,1.539926526,0.378445291,1.539926526,0.581481433
1.631172909,0.168381658,1.631172909,0.385465381,1.631172909,0.59112613
1.727825981,0.169420725,1.727825981,0.393177569,1.727825981,0.600471739
1.830206106,0.171291214,1.830206106,0.401063582,1.830206106,0.609140247
1.938652636,0.174061374,1.938652636,0.408673417,1.938652636,0.616660574
2.053525026,0.177302275,2.053525026,0.415807301,2.053525026,0.62266358
2.175204034,0.180396717,2.175204034,0.422550299,2.175204034,0.627125148
2.304092976,0.182915536,2.304092976,0.429190615,2.304092976,0.630476987
2.440619068,0.18485158,2.440619068,0.436077703,2.440619068,0.633471985
2.58523484,0.186578933,2.58523484,0.443518027,2.58523484,0.636849184
2.738419634,0.188625831,2.738419634,0.451700682,2.738419634,0.640992361
2.900681199,0.191478568,2.900681199,0.460690943,2.900681199,0.645803253
3.072557365,0.195488185,3.072557365,0.470449389,3.072557365,0.650876413
3.254617835,0.20085137,3.254617835,0.480821959,3.254617835,0.655858603
3.447466066,0.207558366,3.447466066,0.491495237,3.447466066,0.660753461
3.651741273,0.215291857,3.651741273,0.501952083,3.651741273,0.665959844
3.868120546,0.223379454,3.868120546,0.511570188,3.868120546,0.672026337
4.097321098,0.230962023,4.097321098,0.519841839,4.097321098,0.679289588
4.340102636,0.237371929,4.340102636,0.526675032,4.340102636,0.687635241
4.597269885,0.242547328,4.597269885,0.532543209,4.597269885,0.696530962
4.869675252,0.247183202,4.869675252,0.538373065,4.869675252,0.705300564
5.158221651,0.252469245,5.158221651,0.545172374,5.158221651,0.713422318
5.463865499,0.25954532,5.463865499,0.553553071,5.463865499,0.720730637
5.787619883,0.268979202,5.787619883,0.563475823,5.787619883,0.727365253
6.130557921,0.280565175,6.130557921,0.574319785,6.130557921,0.733595418
6.493816316,0.29349499,6.493816316,0.585205679,6.493816316,0.739672211
6.878599123,0.30677218,6.878599123,0.595356523,6.878599123,0.745807793
7.286181745,0.319575723,7.286181745,0.604336102,7.286181745,0.752254141
7.717915156,0.331456942,7.717915156,0.612122193,7.717915156,0.759370167
8.175230379,0.342349272,8.175230379,0.619093237,8.175230379,0.767563067
8.659643234,0.352475863,8.659643234,0.625927578,8.659643234,0.777084057
9.172759354,0.362277915,9.172759354,0.633422006,9.172759354,0.787781434
9.716279516,0.372374261,9.716279516,0.642228615,9.716279516,0.798979794
10,0.377859345,10,0.647347749,10,0.804202542
10.29200527,0.383504596,10.29200527,0.652616364,10.29200527,0.809577797
10.90184492,0.396397868,10.90184492,0.66435269,10.90184492,0.818380764
11.54781985,0.411564981,11.54781985,0.676807779,11.54781985,0.824549694
12.23207119,0.429133541,12.23207119,0.689249864,12.23207119,0.827963463
12.95686698,0.44878826,12.95686698,0.701122914,12.95686698,0.829308421
13.72460961,0.469868038,13.72460961,0.712182231,13.72460961,0.829849751
14.53784386,0.491593949,14.53784386,0.722442856,14.53784386,0.830972406
15.39926526,0.513268875,15.39926526,0.732073435,15.39926526,0.833740551
16.31172909,0.534400972,16.31172909,0.741347161,16.31172909,0.838657964
17.27825981,0.554778391,17.27825981,0.750659499,17.27825981,0.845725569
18.30206106,0.574483112,18.30206106,0.760506717,18.30206106,0.854650657
19.38652636,0.593812212,19.38652636,0.771367043,19.38652636,0.865053249
20.53525026,0.613161043,20.53525026,0.783503682,20.53525026,0.876541279
21.75204034,0.632910076,21.75204034,0.796820641,21.75204034,0.888668109
23.04092976,0.653367154,23.04092976,0.810864407,23.04092976,0.900881647
24.40619068,0.674743588,24.40619068,0.825008084,24.40619068,0.912573311
25.8523484,0.697181257,25.8523484,0.838679556,25.8523484,0.923239494
27.38419634,0.720756387,27.38419634,0.851504504,27.38419634,0.932664779
29.00681199,0.745456393,29.00681199,0.863350794,29.00681199,0.940993409
30.72557365,0.771101985,30.72557365,0.874283646,30.72557365,0.94862586
32.54617835,0.797273409,32.54617835,0.884493654,32.54617835,0.955978552
34.47466066,0.82330586,34.47466066,0.894242883,34.47466066,0.963218037
36.51741273,0.848383822,36.51741273,0.903787745,36.51741273,0.970104148
38.68120546,0.871726319,38.68120546,0.913312995,38.68120546,0.976005759
40.97321098,0.89274469,40.97321098,0.922858595,40.97321098,0.980090667
43.40102636,0.911135073,43.40102636,0.932265284,43.40102636,0.981623241
45.97269885,0.926892152,45.97269885,0.941167031,45.97269885,0.98025729
48.69675252,0.940242396,48.69675252,0.949049031,48.69675252,0.976157735
51.58221651,0.951547696,51.58221651,0.955368374,51.58221651,0.969983278
54.63865499,0.961237337,54.63865499,0.959680199,54.63865499,0.962648352
57.87619883,0.969765927,57.87619883,0.961746102,57.87619883,0.955043212
61.30557921,0.977568849,61.30557921,0.96160085,61.30557921,0.94778815
63,0.979309938,63,0.961211164,63,0.946204663
64.93816316,0.981301482,64.93816316,0.960765421,64.93816316,0.944393391