,Sample,date,location,d5_micron,d16_micron,d50_micron,d84_micron,d95_micron,SS_d50_micron,SS_mean_micron,SS_mean_num_micron,depth_mm,v_cm_s,conc,duration
57,C092605E,926,5,,,27.5,48.4,63.1,33.4,31.6,19.8,23,14.3,983,120
58,C092610E,926,10,,,21.5,38.2,47.4,28,27,17.5,23,14.3,983,120
59,C092615E,926,15,,,19.1,33.7,43,25.6,25,16.9,20.5,14.3,983,120
60,C092620E,926,20,,,17.7,30.2,37.3,22.9,22,16.3,21,14.3,983,120
61,C092625E,926,25,,,17.8,29,36.9,22.3,22.3,16.2,20,14.3,983,120
63,C100205E,1002,5,,,29,47.6,63.8,33.8,32,20.9,23,14.6,1015,360
64,C100210E,1002,10,,,21.6,38.3,54.9,27.1,26.4,18.3,23,14.6,1015,360
65,C100215E,1002,15,,,19.9,33.8,45.6,25.5,25.5,17.7,20.5,14.6,1015,360
66,C100220E,1002,20,,,17.8,30.6,39.6,23.3,23.1,16.9,21,14.6,1015,360
67,C100225E,1002,25,,,18.9,29.8,39,22.7,23.1,17.6,18.5,14.6,1015,360